0,1,2,3
0.0,222.75,0.0,0.0
0.0,222.75,0.0,0.0
0.0,170.03250000000003,0.0,0.0
0.0,225.72000000000003,0.0,0.0
0.0,185.625,0.0,0.0
241.0,594.0,0.0,0.0
44.0,304.425,0.0,0.0
0.0,184.14,0.0,0.0
341.0,742.5,0.0,0.0
269.0,635.58,0.0,0.0
209.0,547.9650000000001,0.0,0.0
190.0,519.75,0.0,0.0
12.0,257.64750000000004,0.0,0.0
839.0,1475.3475,0.0,0.0
341.0,742.5,0.0,0.0
0.0,167.0625,0.0,0.0
0.0,107.66250000000001,0.0,0.0
24.0,274.725,0.0,0.0
99.0,386.09999999999997,0.0,0.0
89.0,371.25,0.0,0.0
84.0,363.82500000000005,0.0,0.0
52.0,316.305,0.0,0.0
89.0,371.25,0.0,0.0
1399.0,2301.75,0.0,0.0
429.0,872.4375,0.0,0.0
0.0,211.6125,0.0,0.0
190.0,519.75,0.0,0.0
0.0,133.65,0.0,0.0
0.0,193.04999999999998,0.0,0.0
60.0,328.18500000000006,0.0,0.0
0.0,232.4025,0.0,0.0
0.0,207.90000000000003,0.0,0.0
0.0,185.625,0.0,0.0
341.0,742.5,0.0,0.0
34.0,289.57500000000005,0.0,0.0
14.0,259.875,0.0,0.0
241.0,594.0,0.0,0.0
65.0,334.8675,0.0,0.0
190.0,519.75,0.0,0.0
0.0,222.75,0.0,0.0
0.0,219.03750000000002,0.0,0.0
0.0,163.35,0.0,0.0
429.0,871.6949999999999,0.0,0.0
0.0,144.78750000000002,0.0,0.0
1198.0,2005.4925000000003,0.0,0.0
21.0,271.01250000000005,0.0,0.0
16.0,263.58750000000003,0.0,0.0
261.0,623.6999999999999,0.0,0.0
14.0,259.875,0.0,0.0
14.0,259.875,0.0,0.0
89.0,371.25,0.0,0.0
0.0,222.75,0.0,0.0
0.0,148.5,0.0,0.0
4.0,245.76749999999998,0.0,0.0
39.0,297.0,0.0,0.0
25.0,276.21000000000004,0.0,0.0
75.0,350.46000000000004,0.0,0.0
207.0,544.2525,0.0,0.0
112.0,404.66249999999997,0.0,0.0
0.0,222.75,0.0,0.0
26.0,278.4375,0.0,0.0
0.0,216.81,0.0,0.0
29.0,282.15000000000003,0.0,0.0
747.0,1340.2124999999999,0.0,0.0
0.0,178.20000000000002,0.0,0.0
44.0,304.425,0.0,0.0
0.0,133.65,0.0,0.0
190.0,519.75,0.0,0.0
0.0,148.5,0.0,0.0
0.0,146.27250000000004,0.0,0.0
845.0,1485.0,0.0,0.0
248.0,605.1374999999999,0.0,0.0
1802.0,2895.75,0.0,0.0
0.0,148.5,0.0,0.0
0.0,133.65,0.0,0.0
39.0,297.0,0.0,0.0
0.0,155.92499999999998,0.0,0.0
16.0,263.58750000000003,0.0,0.0
0.0,205.6725,0.0,0.0
0.0,178.20000000000002,0.0,0.0
341.0,742.5,0.0,0.0
5.0,247.2525,0.0,0.0
74.0,348.97499999999997,0.0,0.0
0.0,114.345,0.0,0.0
111.0,402.43500000000006,0.0,0.0
782.0,1392.1875,0.0,0.0
0.0,185.625,0.0,0.0
0.0,148.5,0.0,0.0
14.0,259.875,0.0,0.0
222.0,567.27,0.0,0.0
39.0,297.0,0.0,0.0
0.0,148.5,0.0,0.0
241.0,594.0,0.0,0.0
602.0,1127.115,0.0,0.0
341.0,742.5,0.0,0.0
190.0,519.75,0.0,0.0
0.0,219.78000000000003,0.0,0.0
9.0,252.45000000000002,0.0,0.0
0.0,133.65,0.0,0.0
39.0,297.0,0.0,0.0
99.0,385.3575000000001,0.0,0.0
7.0,249.48000000000002,0.0,0.0
644.0,1188.0,0.0,0.0
0.0,162.60750000000002,0.0,0.0
845.0,1485.0,0.0,0.0
356.0,764.0325,0.0,0.0
341.0,742.5,0.0,0.0
0.0,227.20499999999998,0.0,0.0
0.0,181.17000000000002,0.0,0.0
64.0,334.125,0.0,0.0
339.0,739.53,0.0,0.0
72.0,345.26250000000005,0.0,0.0
39.0,297.0,0.0,0.0
0.0,222.75,0.0,0.0
644.0,1188.0,0.0,0.0
65.0,335.61,0.0,0.0
29.0,282.15000000000003,0.0,0.0
492.0,965.25,0.0,0.0
68.0,340.06500000000005,0.0,0.0
251.0,608.85,0.0,0.0
89.0,371.25,0.0,0.0
39.0,297.0,0.0,0.0
241.0,594.0,0.0,0.0
0.0,207.90000000000003,0.0,0.0
542.0,1038.7575,0.0,0.0
140.0,445.5,0.0,0.0
49.0,311.84999999999997,0.0,0.0
