0,1,2,3
1.0,13.197306547499998,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,9.274448744999999,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.4225748075,1.0,0.0
1.0,2.7527746275,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,3.6518911724999996,1.0,0.0
1.0,1.662749775,1.0,0.0
1.0,2.401749675,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.4102581424999998,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,4.4524743975,1.0,0.0
1.0,4.7973410175,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.5703747874999998,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.6319581125,1.0,0.0
1.0,5.1668409675,1.0,0.0
1.0,2.327849685,1.0,0.0
1.0,1.0,1.0,0.0
1.0,65.49386613749999,1.0,0.0
1.0,1.0,1.0,0.0
1.0,3.1161162449999997,1.0,0.0
1.0,15.925447844999999,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,3.2577578925,1.0,0.0
1.0,1.0,1.0,0.0
1.0,7.950407257499999,1.0,0.0
1.0,1.4964747975,1.0,0.0
1.0,2.61113298,1.0,0.0
1.0,1.884449745,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.1023415175,1.0,0.0
1.0,6.090590842499999,1.0,0.0
1.0,1.5334247925,1.0,0.0
1.0,4.865082675,1.0,0.0
1.0,1.0,1.0,0.0
1.0,40.213911225,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,7.4207906625,1.0,0.0
1.0,75.2732981475,1.0,0.0
1.0,36.549703387499996,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.736649765,1.0,0.0
1.0,1.0,1.0,0.0
1.0,11.928690052499999,1.0,0.0
1.0,2.36479968,1.0,0.0
1.0,3.5841495149999996,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.2686164949999998,1.0,0.0
1.0,1.00996653,1.0,0.0
1.0,4.2492494249999995,1.0,0.0
1.0,14.4289730475,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0653915225,1.0,0.0
1.0,1.0,1.0,0.0
1.0,7.821082274999999,1.0,0.0
1.0,1.0,1.0,0.0
1.0,2.992949595,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.785916425,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,2.3586413475,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.4102581424999998,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.1023415175,1.0,0.0
1.0,1.0,1.0,0.0
